description,MET
"Bicycling, mountain, uphill, vigorous #1 #1​ (ID001)",14.0
"Bicycling, mountain, competitive racing #1 #1​ (ID002)",16.0
"Bicycling, BMX #1 #1​ (ID003)",8.5
"Bicycling, mountain, general #1 #1​ (ID004)",8.5
"Bicycling, <10 mph, leisure, to work or for pleasure #1 #1​ (ID005)",4.0
"Bicycling, to/from work, self selected pace #1 #1​ (ID006)",6.8
"Bicycling, on dirt or farm road, moderate pace #1 #1​ (ID007)",5.8
"Bicycling, general #1 #1​ (ID008)",7.0
"Bicycling, self-selected easy pace #1 #1​ (ID009)",4.3
"Bicycling, self-selected moderate pace #1 #1​ (ID010)",7.0
"Bicycling, self-selected vigorous pace #1 #1​ (ID011)",9.0
"Bicycling, leisure 5.5 mph #1 #1​ (ID012)",3.5
"Bicycling, leisure, 9.4 mph #1 #1​ (ID013)",5.8
"Bicycling, 10-11.9 mph, leisure, slow, light effort #1 #1​ (ID014)",6.8
"Bicycling, 12-13.9 mph, leisure, moderate effort #1 #1​ (ID015)",8.0
"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort #1 #1​ (ID016)",10.0
"Bicycling, 16-19 mph, racing/not drafting or >19 mph very fast #1 #1​ (ID017)",12.0
"Bicycling, >20 mph, racing, not drafting #1 #1​ (ID018)",16.8
"Bicycling, 12 mph, seated, hands on brake hoods 80 rpm #1 #1​ (ID019)",8.5
"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm #1 #1​ (ID020)",9.0
Unicycling #1 #1​ (ID021),5.0
E-bike #1 #1​ (ID022),6.8
E-bike #2 #1​ (ID023),6.0
E-bike #3 #1​ (ID024),4.0
"Bicycling, stationary, general #1 #1​ (ID025)",6.8
"Bicycling, stationary, 25-30 watts, very light to light effort #1 #1​ (ID026)",3.5
"Bicycling, stationary, 50 watts, light effort #1 #1​ (ID027)",4.0
"Bicycling, stationary, 60 watts, light to moderate effort #1 #1​ (ID028)",5.0
"Bicycling, stationary, 70-80 watts #1 #1​ (ID029)",5.8
"Bicycling, stationary, 90-100 watts,  moderate to vigorous #1 #1​ (ID030)",6.0
"Bicycling, stationary, 101-125 watts #1 #1​ (ID031)",6.8
"Bicycling, stationary, 126-150 watts #1 #1​ (ID032)",8.0
"Bicycling, stationary, 151-199 watts #1 #1​ (ID033)",10.3
"Bicycling, stationary, 200-229 watts, vigorous #1 #1​ (ID034)",10.8
"Bicycling, stationary, 230-250 watts, very vigorous #1 #1​ (ID035)",12.5
"Bicycling, stationary, 270-305 watts, very vigorous #1 #1​ (ID036)",13.8
"Bicycling, stationary, >325 watts, very vigorous #1 #1​ (ID037)",16.3
"Bicycling, concentric only, 100 W #1 #1​ (ID038)",5.5
"Bicycling, concentric only, 200 W #1 #1​ (ID039)",11.0
"Bicycling, eccentric only, 100 to 149 W #1 #1​ (ID040)",2.3
"Bicycling, eccentric only, 200 W #1 #1​ (ID041)",4.0
"Bicycling, stationary, RPM/Spin bike class #1 #1​ (ID042)",9.0
"Bicycling, interactive virtual cycling, indoor cycle ergometer #1 #1​ (ID043)",8.8
"Bicycling, high intensity interval training #1 #1​ (ID044)",8.8
"Aerobic, general #1 #1​ (ID045)",7.3
"Aerobic, step, with 4-inch step #1 #1​ (ID046)",5.5
"Aerobic, step, with 6 – 8 inch step #1 #1​ (ID047)",7.3
"Aerobic, step, with 10 – 12 inch step #1 #1​ (ID048)",9.0
"Bench step class, general #1 #1​ (ID049)",7.8
"Aerobic dance, low impact, moderate effort #1 #1​ (ID050)",4.8
"Aerobic dance, high impact, vigorous effort #1 #1​ (ID051)",8.0
Aerobic dance wearing 10-15 lb weights #1 #1​ (ID052),10.0
"Army type obstacle course exercise, boot camp training program #1 #1​ (ID053)",5.0
Calisthenics #1 #1​ (ID054),7.5
Calisthenics #2 #1​ (ID055),3.8
Calisthenics #3 #1​ (ID056),2.8
"Calisthenics, light or moderate effort, general #1 #1​ (ID057)",3.5
"Circuit training, body weight exercises #1 #1​ (ID058)",6.0
"Circuit training, light effort #1 #1​ (ID059)",3.5
"Circuit training, moderate effort #1 #1​ (ID060)",5.0
"Circuit training, cardio and kettlebells, vigorous intensity #1 #1​ (ID061)",7.5
Curves™ exercise routines in women #1 #1​ (ID062),3.5
"Elliptical trainer, moderate effort #1 #1​ (ID063)",5.0
"Elliptical trainer, vigorous effort #1 #1​ (ID064)",9.0
Resistance #1 #1​ (ID065),6.0
Resistance #2 #1​ (ID066),5.0
Resistance #3 #1​ (ID067),3.5
"Resistance Training, circuit, reciprocol supersets, peripheral hear action training #1 #1​ (ID068)",5.8
Body weight resistance exercises #1 #1​ (ID069),3.0
Body weight resistance exercises #2 #1​ (ID070),6.5
Kettle bell swings #1 #1​ (ID071),9.8
"Health club exercise, general #1 #1​ (ID072)",5.5
"Health club exercise classes general, gym/weight training combined in one visit #1 #1​ (ID073)",5.0
"Health club exercise, conditioning classes #1 #1​ (ID074)",7.8
"Home exercise, general #1 #1​ (ID075)",3.8
"Stair treadmill ergometer, general #1 #1​ (ID076)",9.3
"Rope skipping exercise, general #1 #1​ (ID077)",11.0
"Jumping rope, Digi-Jump Maching, 120 jumps/minute #1 #1​ (ID078)",9.0
"Rowing, stationary ergometer, general, vigorous effort #1 #1​ (ID079)",7.3
"Rowing, stationary ergometer, general, <100 watts,  moderate effort #1 #1​ (ID080)",5.0
"Rowing, stationary, 100 to 149 watts, vigorous effort #1 #1​ (ID081)",7.5
"Rowing, stationary, 150 to 199 watts, vigorous effort #1 #1​ (ID082)",11.0
"Rowing, stationary, ≥ 200 watts, very vigorous effort #1 #1​ (ID083)",14.0
"Shuttle running, forward/backward/lateral #1 #1​ (ID084)",11.0
"Ski machine, general #1 #1​ (ID085)",6.8
"Ski ergometer, cross country, double poling, slow to moderate speed #1 #1​ (ID086)",10.5
"Ski ergometer, cross country, double poling, fast to maximum speed #1 #1​ (ID087)",18.0
"Slide board exercise, general #1 #1​ (ID088)",10.5
"Slimnastics, jazzercise #1 #1​ (ID089)",6.0
"Stretching, mild #1 #1​ (ID090)",2.3
"Pilates, traditional, mat #1 #1​ (ID091)",1.8
"Pilates, general #1 #1​ (ID092)",2.8
"Pound, combination of Pilates and body movements with drumming #1 #1​ (ID093)",8.5
"Pole dancing, exercise class #1 #1​ (ID094)",4.5
Teaching exercise classes #1 #1​ (ID095),6.8
"Therapeutic exercise ball, Fitball exercise #1 #1​ (ID096)",2.8
"Therapeutic exercise ball, Fitball exercise, high intensity #1 #1​ (ID097)",9.5
"Upper body exercise, arm ergometer, general, light #1 #1​ (ID098)",2.8
"Arm Ergometer, hand bike, 15W #1 #1​ (ID099)",2.0
"Arm Ergometer, hand bike, 25-30W #1 #1​ (ID100)",2.8
"Arm Ergometer, hand bike, 45W #1 #1​ (ID101)",3.5
"Upper body exercise, stationary bicycle - 40 rpm, moderate intensity #1 #1​ (ID102)",4.3
"Water aerobics, water calisthenics, water exercise #1 #1​ (ID103)",5.3
"Whirlpool, sitting #1 #1​ (ID104)",1.3
"Video, exercise workouts, #1 #1​ (ID105)",2.5
"Video, exercise workouts, #2 #1​ (ID106)",4.0
"Video, exercise workouts, #3 #1​ (ID107)",6.0
"Yoga, Hatha #1 #1​ (ID108)",2.3
"Yoga, Hatha, high intensity #1 #1​ (ID109)",8.0
"Yoga, Hot #1 #1​ (ID110)",3.0
"Yoga, Power #1 #1​ (ID111)",4.0
"Yoga, Nadisodhana #1 #1​ (ID112)",2.0
"Yoga, General #1 #1​ (ID113)",2.3
"Yoga, Surya Namaskar #1 #1​ (ID114)",3.5
"Yoga, Vinyasa #1 #1​ (ID115)",2.7
"Native New Zealander PA,general moderate effort #1 #1​ (ID116)",5.3
"Native New Zealander PA, general, vigorous effort #1 #1​ (ID117)",6.8
"High intensity interval exercise,  moderate effort #1 #1​ (ID118)",7.0
"High intensity interval exercise,  burpees, mountain climbers, vigorous effort #1 #1​ (ID119)",11.0
Balance Exercise Assist Robot #1 #1​ (ID120),2.3
Hooping #1 #1​ (ID121),5.8
"Impulse Training System, Inertial Exercise Trainer #1 #1​ (ID122)",9.0
"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing"" vigorous intensity #1 #1​ (ID123)",7.9
"ExerCube, workout series #1 #1​ (ID124)",9.3
"Blackbox Immersive virtual reality exergaming system, vigorous intensity #1 #1​ (ID125)",13.0
"Wand exercise, Life-Build-Line #1 #1​ (ID126)",3.0
"Zumba, group class #1 #1​ (ID127)",6.5
"Zumba, home video #1 #1​ (ID128)",5.5
"Sit to stand exercise, 6-12 times/min #1 #1​ (ID129)",2.8
"Sit to stand exercise, 18-24 times/min #1 #1​ (ID130)",4.0
Afro-Cuban salsa #1 #1​ (ID131),6.0
"Ballet, modern, or jazz general, rehearsal or class #1 #1​ (ID132)",5.0
Ballet exercises #1 #1​ (ID133),6.3
"Ballet, modern, or jazz, performance, vigorous effort #1 #1​ (ID134)",6.8
Tap #1 #1​ (ID135),4.8
Ethnic or cultural dancing #1 #1​ (ID136),4.5
"Chinese square dance, Ballet & Tibetan dance #1 #1​ (ID137)",5.5
"Chinese square dance, aerobic dance #1 #1​ (ID138)",7.3
"Ballroom dancing, fast #1 #1​ (ID139)",5.5
"Nightclub or folk dancing, vigorous effort #1 #1​ (ID140)",9.8
"Folk dancing, moderate effort #1 #1​ (ID141)",5.0
"Ballroom dancing, competitive, general #1 #1​ (ID142)",11.3
"ballroom dance, DanceSport competition #1 #1​ (ID143)",13.0
"Ballroom, slow, examples: waltz, foxtrot, slow dancing, etc #1 #1​ (ID144)",3.0
"Ballroom Dance, Recreational #1 #1​ (ID145)",6.0
"Traditional dancing, moderate effort #1 #1​ (ID146)",5.5
Caribbean dance #1 #1​ (ID147),3.5
"Contemporary dancing, general #1 #1​ (ID148)",3.8
"Contemporary dancing, nightclub #1 #1​ (ID149)",4.3
Flamenco dance #1 #1​ (ID150),8.5
"Jazz dancing, general #1 #1​ (ID151)",4.5
"Musical Theater, Singing/dancing #1 #1​ (ID152)",10.3
"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan #1 #1​ (ID153)",5.8
"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling #1 #1​ (ID154)",7.0
"Polynesian dance, Samoan slap, Tahitian #1 #1​ (ID155)",8.8
"Salsa Dancing, with partner #1 #1​ (ID156)",4.8
"Salsa dancing, to a video #1 #1​ (ID157)",6.3
"Square Dancing, American Western, country #1 #1​ (ID158)",5.5
"Fishing, general #1 #1​ (ID159)",3.5
"Fishing, crab fishing #1 #1​ (ID160)",4.5
"Fishing, catching fish with hands #1 #1​ (ID161)",4.0
"Fishing related, digging worms, with shovel #1 #1​ (ID162)",4.3
Fishing from river bank and walking #1 #1​ (ID163),4.0
"Fishing from boat or canoe, sitting #1 #1​ (ID164)",2.0
"Fishing from river bank, standing #1 #1​ (ID165)",3.5
"Fishing in stream, in waders #1 #1​ (ID166)",6.0
"Fishing, ice, sitting #1 #1​ (ID167)",2.0
"Fishing, jig or line, standing, general #1 #1​ (ID168)",1.8
"Fishing, dip net, setting net and retrieving fish, general #1 #1​ (ID169)",3.5
"Fishing, set net, setting net and retrieving fish, general #1 #1​ (ID170)",3.8
"Fishing, fishing wheel, setting net and retrieving fish, general #1 #1​ (ID171)",3.0
"Fishing with a spear, standing #1 #1​ (ID172)",2.3
"Hunting, bow and arrow or crossbow #1 #1​ (ID173)",2.5
"Hunting, deer, elk, large game #1 #1​ (ID174)",6.0
"Hunting large game, dragging carcass #1 #1​ (ID175)",9.8
Hunting large marine animals #1 #1​ (ID176),4.0
"Hunting, large game from a hunting stand, limited walking #1 #1​ (ID177)",2.5
"Hunting large game from a car, plane, or boat #1 #1​ (ID178)",2.0
"Hunting, duck, wading #1 #1​ (ID179)",2.5
"Hunting flying fox, squirrel #1 #1​ (ID180)",3.0
"Hunting, general #1 #1​ (ID181)",5.0
"Hunting, pheasants or grouse #1 #1​ (ID182)",6.0
Hunting birds #1 #1​ (ID183),3.3
"Hunting, rabbit, squirrel, prairie chick, raccoon, small game #1 #1​ (ID184)",5.0
"Hunting pigs, wild #1 #1​ (ID185)",3.3
"Trapping game, general #1 #1​ (ID186)",2.0
Hunting - hiking with hunting gear #1 #1​ (ID187),9.5
"Pistol shooting or trap shooting, standing #1 #1​ (ID188)",2.5
"Rifle exercises, shooting, lying down #1 #1​ (ID189)",2.3
"Rifle exercises, shooting, kneeling or standing #1 #1​ (ID190)",2.5
"Foraging, 0-9.9kg backpack #1 #1​ (ID191)",2.8
"Foraging, 10-15kg backpack #1 #1​ (ID192)",3.0
"Sitting in boat, passenger #1 #1​ (ID193)",1.0
Standing in boat #1 #1​ (ID194),1.5
"Activities in a boat, lifting, lowering #1 #1​ (ID195)",3.3
"Cleaning, sweeping carpet or floors, general #1 #1​ (ID196)",3.3
"Cleaning, sweeping, slow, light effort #1 #1​ (ID197)",2.3
"Cleaning, sweeping, fast, moderate effort #1 #1​ (ID198)",3.8
Cleaning  heavy or major #1 #1​ (ID199),3.5
"Cleaning, mopping, standing, moderate effort #1 #1​ (ID200)",3.5
"Cleaning windows, washing windows, general #1 #1​ (ID201)",3.3
"Mopping, standing, light effort #1 #1​ (ID202)",2.5
"Polishing floors, standing, walking slowly, using electric polishing machine #1 #1​ (ID203)",4.5
"Multiple household tasks all at once, light effort #1 #1​ (ID204)",2.8
"Multiple household tasks all at once, moderate effort #1 #1​ (ID205)",3.3
"Multiple household tasks all at once, vigorous effort #1 #1​ (ID206)",4.3
"Cleaning, house or cabin, general, moderate effort #1 #1​ (ID207)",3.3
"Dusting or polishing furniture, general #1 #1​ (ID208)",2.5
"Kitchen activity, general, #1 #1​ (ID209)",3.3
"Cleaning, general #1 #1​ (ID210)",2.5
"Wash dishes, standing or in general #1 #1​ (ID211)",2.0
"Wash dishes, clearing dishes from table, walking, light effort #1 #1​ (ID212)",2.0
"Vacuuming, general, moderate effort #1 #1​ (ID213)",3.0
"Butchering animals, small #1 #1​ (ID214)",3.0
"Butchering animals, large, vigorous effort #1 #1​ (ID215)",6.0
"Cutting and smoking fish, drying fish or meat #1 #1​ (ID216)",2.3
"Tanning hides, general #1 #1​ (ID217)",4.0
"Cooking or food preparation, moderate effort #1 #1​ (ID218)",3.5
"Cooking or food preparation - standing or sitting or in general, manual appliances, light effort #1 #1​ (ID219)",2.0
"Cooking or food preparation, walking #1 #1​ (ID220)",2.3
"Serving food, setting/cleaning table, implied walking or standing #1 #1​ (ID221)",2.3
Feeding household animals #1 #1​ (ID222),2.5
"carrying groceries, on level ground, walking #1 #1​ (ID223)",3.5
Putting away groceries #1 #1​ (ID224),2.5
Carrying groceries upstairs #1 #1​ (ID225),5.3
Cooking Indian bread or other food on an outside stove #1 #1​ (ID226),3.0
Food shopping with or without a grocery cart; carrying a 10 lb bag #1 #1​ (ID227),3.3
"Non-food shopping, with or without cart, standing or walking #1 #1​ (ID228)",2.3
Ironing #1 #1​ (ID229),1.8
"Knitting, sewing, light effort, wrapping presents, sitting #1 #1​ (ID230)",1.3
Sewing with a machine #1 #1​ (ID231),2.8
"Laundry, light effort #1 #1​ (ID232)",2.3
"Laundry, fold or hang clothes, sitting #1 #1​ (ID233)",2.0
"Laundry,  moderate effort #1 #1​ (ID234)",4.0
"Laundry,  putting away clothes #1 #1​ (ID235)",2.0
"Making bed, changing linens #1 #1​ (ID236)",3.0
Maple syruping/sugar bushing #1 #1​ (ID237),5.0
"Moving furniture, household items, carrying boxes #1 #1​ (ID238)",5.8
"Moving, lifting light loads #1 #1​ (ID239)",5.0
Organizing a room #1 #1​ (ID240),4.8
"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort #1 #1​ (ID241)",3.5
"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort #1 #1​ (ID242)",2.0
"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort #1 #1​ (ID243)",6.5
"Sweeping garage, sidewalk, or outside house #1 #1​ (ID244)",3.0
"Standing, packing/unpacking boxes, occasional lifting lightweight household items, loading or unloading items into a car, moderate effort #1 #1​ (ID245)",3.8
"Implied walking, putting away household items, moderate effort #1 #1​ (ID246)",3.0
Watering  plants #1 #1​ (ID247),2.0
Building a fire inside #1 #1​ (ID248),2.5
"Moving household items upstairs, carrying boxes or furniture #1 #1​ (ID249)",9.0
"Standing, light effort tasks #1 #1​ (ID250)",2.0
"Walking, moderate effort tasks, non-cleaning #1 #1​ (ID251)",3.5
"Sitting, playing with child #1 #1​ (ID252)",2.3
"Standing, playing with child #1 #1​ (ID253)",2.8
"Walking/running, playing with child #1 #1​ (ID254)",3.5
"Walking/running, playing with child #2 #1​ (ID255)",5.8
"Walking and carrying small child, child weighing 15 lbs or more #1 #1​ (ID256)",3.0
"Walking and carrying small child, child weighing less than 15 lbs #1 #1​ (ID257)",2.5
"Standing, holding child #1 #1​ (ID258)",2.0
"Child care, infant, general #1 #1​ (ID259)",2.5
"Child care: sitting or kneeling, dressing, bathing, grooming, feeding, occasional lifting of child-light effort, general #1 #1​ (ID260)",2.0
"Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort #1 #1​ (ID261)",3.5
Reclining with baby #1 #1​ (ID262),1.5
"Breastfeeding, sitting or reclining #1 #1​ (ID263)",2.0
"Sit, playing with animals, light, only active period #1 #1​ (ID264)",2.5
"Stand, playing with animals, light effort, only active periods #1 #1​ (ID265)",2.8
"Walk or run, playing with animals, general, light effort, only active periods #1 #1​ (ID266)",2.8
"Walk/run, playing with animals, moderate effort, only active periods #1 #1​ (ID267)",4.0
"Walk/run, playing with animals, vigorous effort, only active periods #1 #1​ (ID268)",5.0
"Standing, bathing dog #1 #1​ (ID269)",3.5
"Animal care, household animals, general #1 #1​ (ID270)",2.3
"Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods #1 #1​ (ID271)",3.0
"Elder care, disabled adult, feeding, combing hair, light effort, only active periods #1 #1​ (ID272)",1.8
Handwashing #1 #1​ (ID273),1.3
Airplane repair #1 #1​ (ID274),3.0
Automobile body work #1 #1​ (ID275),4.0
"Automobile repair, light or moderate effort #1 #1​ (ID276)",3.3
"Carpentry, general, workshop #1 #1​ (ID277)",3.0
"Carpentry, outside house, #1 #1​ (ID278)",6.0
"Carpentry, outside house, building a fence #1 #1​ (ID279)",3.8
"Carpentry, finishing, varnishing, or refinishing cabinets or furniture #1 #1​ (ID280)",3.3
"Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort #1 #1​ (ID281)",6.0
"Carpentry, home remodeling tasks, moderate effort #1 #1​ (ID282)",4.0
"Carpentry, home remodeling tasks, light effort #1 #1​ (ID283)",2.3
"Caulking, chinking log cabin #1 #1​ (ID284)",5.0
"Caulking, except log cabin #1 #1​ (ID285)",4.5
Cleaning gutters #1 #1​ (ID286),5.0
Excavating garage #1 #1​ (ID287),5.0
Hanging storm windows #1 #1​ (ID288),5.0
Hanging sheet rock inside house #1 #1​ (ID289),5.0
Hammering nails #1 #1​ (ID290),3.0
"Home repair, general, light effort #1 #1​ (ID291)",2.5
"Home repair, general, moderate effort #1 #1​ (ID292)",4.5
"Home repair, general, vigorous effort #1 #1​ (ID293)",6.0
Laying or removing carpet #1 #1​ (ID294),4.5
Laying tile or linoleum #1 #1​ (ID295),3.8
Repairing appliances #1 #1​ (ID296),3.0
"Painting, outside home #1 #1​ (ID297)",5.0
"Painting inside house, wallpapering, scraping paint #1 #1​ (ID298)",3.3
Painting #1 #1​ (ID299),4.5
"Plumbing, general #1 #1​ (ID300)",3.0
Put on and removal of tarp – sailboat #1 #1​ (ID301),3.0
Roofing #1 #1​ (ID302),6.0
Sanding floors with a power sander #1 #1​ (ID303),4.5
Scraping and painting sailboat or powerboat #1 #1​ (ID304),4.5
Sharpening tools #1 #1​ (ID305),2.0
Spreading dirt with a shovel #1 #1​ (ID306),5.0
Washing and waxing hull of sailboat or airplane #1 #1​ (ID307),4.5
Washing and waxing car #1 #1​ (ID308),2.0
"Washing fence, painting fence, moderate effort #1 #1​ (ID309)",4.5
"Wiring, tapping-splicing #1 #1​ (ID310)",3.3
Lying quietly and watching television #1 #1​ (ID311),1.0
"Lying quietly, doing nothing, lying in bed awake, listening to music #1 #1​ (ID312)",1.0
"Sit, watch television #1 #1​ (ID313)",1.0
"Sitting quietly, general #1 #1​ (ID314)",1.0
"Sitting quietly, fidgeting, general, fidgeting hands #1 #1​ (ID315)",1.5
"Sitting, fidget feet #1 #1​ (ID316)",1.8
Sitting smoking #1 #1​ (ID317),1.3
"Sitting, listening to music #1 #1​ (ID318)",1.5
"Sitting at a desk, resting head in hands #1 #1​ (ID319)",1.3
Sleeping #1 #1​ (ID320),0.95
Standing quietly #1 #1​ (ID321),1.3
Standing #1 #1​ (ID322),1.5
Standing watching television #1 #1​ (ID323),1.3
"Reclining, writing #1 #1​ (ID324)",1.5
"Reclining, talking or talking on phone #1 #1​ (ID325)",1.3
"Reclining, reading #1 #1​ (ID326)",1.3
Meditating #1 #1​ (ID327),1.0
"Carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to- moderate effort #1 #1​ (ID328)",4.1
"Carrying, loading or stacking wood, loading/unloading or carrying lumber, moderate effort #1 #1​ (ID329)",5.5
"Chopping wood, splitting logs, moderate effort #1 #1​ (ID330)",4.5
"Chopping wood, splitting logs, vigorous effort #1 #1​ (ID331)",6.5
"Clearing light brush, thinning garden, moderate effort #1 #1​ (ID332)",3.5
"Clearing land, haul brush, undergrowth, or ground, vigorous effort #1 #1​ (ID333)",6.3
"Digging sandbox, shoveling sand #1 #1​ (ID334)",5.0
"Digging, spading, filling garden, composting, light-to-moderate effort #1 #1​ (ID335)",3.5
"Digging, spading, filling garden, composting #1 #1​ (ID336)",5.0
"Digging, spading, filling garden, composting, vigorous effort #1 #1​ (ID337)",7.3
Driving tractor #1 #1​ (ID338),2.8
